name,place,year,lon,lat
乙晓光,保定,1974,115.47,38.87
乙晓光,成都,1979,104.07,30.67
乙晓光,云南,1989,102.72,25.05
乙晓光,武汉,1996,114.3,30.6
乙晓光,广州,2003,113.27,23.13
乙晓光,南京,2010,118.78,32.07
乙晓光,北京,2016,116.4,39.9
丁来杭,福州,2007,119.3,26.08
丁来杭,成都,2012,104.07,30.67
丁来杭,沈阳,2016,123.43,41.8
丁薛祥,上海,1982,121.47,31.23
丁薛祥,闸北区,2001,121.45,31.25
丁薛祥,上海,2004,121.47,31.23
丁薛祥,北京,2013,116.4,39.9
于伟国,太仓,1973,121.1,31.45
于伟国,北京,1983,116.4,39.9
于伟国,厦门,1995,118.08,24.48
于伟国,福建,2005,119.3,26.08
于伟国,厦门,2009,118.08,24.48
于伟国,福建,2013,119.3,26.08
于忠福,北京,1974,116.4,39.9
于忠福,上海,2012,121.47,31.23
于忠福,济南,2014,116.98,36.67
于忠福,南京,2015,118.78,32.07
万立骏,大连,1982,121.62,38.92
万立骏,吉林,1984,125.32,43.9
万立骏,大连,1992,121.62,38.92
万立骏,北海,1998,109.12,21.48
万立骏,北京,2017,116.4,39.9
习近平,延川县,1969,110.18,36.88
习近平,北京,1979,116.4,39.9
习近平,正定县,1982,114.57,38.15
习近平,厦门,1985,118.08,24.48
习近平,宁德,1988,119.52,26.67
习近平,福建,1990,119.3,26.08
习近平,浙江,2002,120.15,30.28
习近平,北京,2007,116.4,39.9
马飚,柳州,1972,109.42,24.33
马飚,北京,1978,116.4,39.9
马飚,广西壮族自治区,1982,108.37,22.82
马飚,罗城仫佬族自治县,1990,108.9,24.78
马飚,广西壮族自治区,1994,108.37,22.82
马飚,百色,1998,106.62,23.9
马飚,广西壮族自治区,2004,108.37,22.82
马兴瑞,阜新,1978,121.67,42.02
马兴瑞,天津,1982,117.2,39.12
马兴瑞,哈尔滨,1985,126.53,45.8
马兴瑞,北京,2005,116.4,39.9
马兴瑞,深圳,2015,114.05,22.55
马兴瑞,广东,2017,113.27,23.13
王宁,上海,2006,121.47,31.23
王宁,江西,2007,115.85,28.68
王宁,北京,2013,116.4,39.9
王勇,黑龙江,1969,126.53,45.8
王勇,北京,1979,116.4,39.9
王勇,哈尔滨,1987,126.53,45.8
王勇,北京,2000,116.4,39.9
王晨,宜君县,1969,109.12,35.4
王晨,延安,1973,109.48,36.6
王晨,北京,1991,116.4,39.9
王毅,黑龙江,1969,126.53,45.8
王毅,北京,1978,116.4,39.9
王小洪,闽侯县,1974,119.13,26.15
王小洪,郊区,1989,113.58,37.93
王小洪,福建,1993,119.3,26.08
王小洪,漳州,1998,117.65,24.52
王小洪,福建,2002,119.3,26.08
王小洪,厦门,2011,118.08,24.48
王小洪,河南,2013,113.62,34.75
王小洪,北京,2015,116.4,39.9
王玉普,大庆,1978,125.03,46.58
王玉普,北京,1994,116.4,39.9
王玉普,大庆,1997,125.03,46.58
王玉普,北京,2000,116.4,39.9
王玉普,大庆,2003,125.03,46.58
王玉普,北京,2007,116.4,39.9
王玉普,大庆,2009,125.03,46.58
王玉普,黑龙江,2010,126.53,45.8
王玉普,北京,2013,116.4,39.9
王正伟,同心县,1976,105.92,36.98
王正伟,宁夏回族自治区,1983,106.28,38.47
王正伟,北京,1994,116.4,39.9
王正伟,宁夏回族自治区,1997,106.28,38.47
王正伟,北京,2000,116.4,39.9
王正伟,宁夏回族自治区,2003,106.28,38.47
王正伟,北京,2015,116.4,39.9
王东明,辽宁,1975,123.43,41.8
王东明,太和区,1982,121.1,41.1
王东明,锦州,1983,121.13,41.1
王东明,绥中县,1985,120.33,40.32
王东明,灯塔,1991,123.33,41.42
王东明,辽阳,1993,123.17,41.27
王东明,辽宁,1994,123.43,41.8
王东明,北京,1997,116.4,39.9
王东明,辽宁,2000,123.43,41.8
王东明,北京,2002,116.4,39.9
王东明,四川,2013,104.07,30.67
王东峰,陕西,1981,108.93,34.27
王东峰,北京,1994,116.4,39.9
王东峰,陕西,1998,108.93,34.27
王东峰,北京,2000,116.4,39.9
王东峰,渭南,2001,109.5,34.5
王东峰,北京,2003,116.4,39.9
王东峰,津市,2013,111.88,29.62
王东峰,河北,2017,114.52,38.05
王尔乘,北京,1971,116.4,39.9
王志民,将乐县,1975,117.47,26.73
王志民,福州,1976,119.3,26.08
王志民,郑州,1978,113.62,34.75
王志民,福州,1982,119.3,26.08
王志民,香港,1992,114.08,22.2
王志民,厦门,1998,118.08,24.48
王志民,福建,1999,119.3,26.08
王志民,北京,2006,116.4,39.9
王志民,澳门,2016,113.33,22.13
王志民,北京,2017,116.4,39.9
王志刚,滁州,1976,118.32,32.3
王志刚,北京,1998,116.4,39.9
王沪宁,上海,1972,121.47,31.23
王沪宁,北京,1995,116.4,39.9
王国生,东阿县,1974,116.25,36.33
王国生,聊城,1976,115.98,36.45
王国生,山东,1981,116.98,36.67
王国生,聊城,1983,115.98,36.45
王国生,唐县,1991,114.98,38.75
王国生,聊城,1995,115.98,36.45
王国生,山东,1997,116.98,36.67
王国生,连云港,2000,119.22,34.6
王国生,江苏,2001,118.78,32.07
王国生,湖北,2010,114.3,30.6
王国生,青海,2016,101.78,36.62
王建军,湟中县,1978,101.57,36.5
王建军,青海,1979,101.78,36.62
王建军,北京,2008,116.4,39.9
王建军,青海,2010,101.78,36.62
王建武,西藏自治区,2017,91.13,29.65
王晓东,江西,1979,115.85,28.68
王晓东,北京,1987,116.4,39.9
王晓东,江西,1989,115.85,28.68
王晓东,贵州,1993,106.63,26.65
王晓东,北京,2000,116.4,39.9
王晓东,贵州,2007,106.63,26.65
王晓东,湖北,2011,114.3,30.6
王晓晖,北京,1986,116.4,39.9
王家胜,北京,2014,116.4,39.9
王蒙徽,广东,1993,113.27,23.13
王蒙徽,增城,1995,113.83,23.3
王蒙徽,广东,1998,113.27,23.13
王蒙徽,番禺区,2003,113.35,22.95
王蒙徽,汕尾,2004,115.37,22.78
王蒙徽,云浮,2008,112.03,22.92
王蒙徽,福建,2011,119.3,26.08
王蒙徽,厦门,2013,118.08,24.48
王蒙徽,辽宁,2016,123.43,41.8
尤权,黑龙江,1969,126.53,45.8
尤权,北京,1976,116.4,39.9
尤权,福建,2012,119.3,26.08
车俊,东方,1973,108.63,19.1
车俊,安徽,1979,117.25,31.83
车俊,北京,1993,116.4,39.9
车俊,安徽,1999,117.25,31.83
车俊,河北,2005,114.52,38.05
车俊,北京,2010,116.4,39.9
车俊,浙江,2016,120.15,30.28
尹力,山东,1980,116.98,36.67
尹力,上海,1987,121.47,31.23
尹力,北京,2001,116.4,39.9
尹力,四川,2016,104.07,30.67
巴音朝鲁,内蒙古自治区,1976,111.73,40.83
巴音朝鲁,伊金霍洛旗,1985,109.73,39.57
巴音朝鲁,内蒙古自治区,1991,111.73,40.83
巴音朝鲁,北京,1993,116.4,39.9
巴音朝鲁,吉林,1994,125.32,43.9
巴音朝鲁,北京,1998,116.4,39.9
巴音朝鲁,浙江,2001,120.15,30.28
巴音朝鲁,宁波,2003,121.55,29.88
巴音朝鲁,吉林,2010,125.32,43.9
巴特尔,内蒙古自治区,1973,111.73,40.83
巴特尔,呼伦贝尔,1980,119.77,49.22
巴特尔,内蒙古自治区,1982,111.73,40.83
巴特尔,呼伦贝尔,1983,119.77,49.22
巴特尔,内蒙古自治区,1984,111.73,40.83
巴特尔,北京,1988,116.4,39.9
巴特尔,朝阳区,1991,116.43,39.92
巴特尔,乌海,1992,106.82,39.67
巴特尔,内蒙古自治区,1999,111.73,40.83
巴特尔,北京,2006,116.4,39.9
艾力更·依明巴海,乌鲁木齐县,1971,87.6,43.8
艾力更·依明巴海,新疆维吾尔,1972,87.62,43.82
艾力更·依明巴海,江苏,1987,118.78,32.07
艾力更·依明巴海,新疆维吾尔,1992,87.62,43.82
石泰峰,榆社县,1974,112.97,37.07
石泰峰,山西,1975,112.55,37.87
石泰峰,北京,1978,116.4,39.9
石泰峰,宁晋县,1987,114.92,37.62
石泰峰,北京,1990,116.4,39.9
石泰峰,江苏,2011,118.78,32.07
石泰峰,宁夏回族自治区,2017,106.28,38.47
布小林,内蒙古自治区,1976,111.73,40.83
布小林,北京,1980,116.4,39.9
布小林,内蒙古自治区,1985,111.73,40.83
布小林,吉林,1998,125.32,43.9
布小林,北京,2000,116.4,39.9
布小林,内蒙古自治区,2003,111.73,40.83
布小林,阿拉善盟,2004,105.67,38.83
布小林,合作,2005,102.92,34.98
布小林,阿拉善盟,2006,105.67,38.83
布小林,内蒙古自治区,2008,111.73,40.83
卢展工,富锦,1969,132.03,47.25
卢展工,黑龙江,1972,126.53,45.8
卢展工,浙江,1982,120.15,30.28
卢展工,北京,1987,116.4,39.9
卢展工,嘉兴,1988,120.75,30.75
卢展工,浙江,1991,120.15,30.28
卢展工,河北,1996,114.52,38.05
卢展工,福建,2001,119.3,26.08
卢展工,河南,2009,113.62,34.75
白春礼,北京,1974,116.4,39.9
白春礼,长春,1978,125.32,43.9
白春礼,北京,1997,116.4,39.9
吉炳轩,郑州,1975,113.62,34.75
吉炳轩,孟津县,1978,112.43,34.83
吉炳轩,朝阳,1982,120.45,41.57
吉炳轩,偃师,1984,112.78,34.73
吉炳轩,河南,1987,113.62,34.75
吉炳轩,新乡,1991,113.9,35.3
吉炳轩,北京,1993,116.4,39.9
吉炳轩,吉林,1995,125.32,43.9
吉炳轩,北京,2001,116.4,39.9
吉炳轩,黑龙江,2013,126.53,45.8
毕井泉,安县,1972,104.57,31.53
毕井泉,北京,1978,116.4,39.9
曲青山,贵德县,1973,101.43,36.05
曲青山,青海,1975,101.78,36.62
曲青山,陕西,1978,108.93,34.27
曲青山,青海,1982,101.78,36.62
曲青山,北京,1984,116.4,39.9
曲青山,青海,1986,101.78,36.62
曲青山,北京,1995,116.4,39.9
曲青山,青海,1997,101.78,36.62
曲青山,北京,2009,116.4,39.9
朱生岭,舟山,1994,122.2,30.0
朱生岭,福建,2009,119.3,26.08
朱生岭,上海,2013,121.47,31.23
朱生岭,北京,2016,116.4,39.9
刘奇,义县,1974,121.23,41.53
刘奇,浙江,1977,120.15,30.28
刘奇,衢州,1980,118.87,28.93
刘奇,浙江,1992,120.15,30.28
刘奇,衢州,1998,118.87,28.93
刘奇,北京,2002,116.4,39.9
刘奇,温州,2003,120.7,28.0
刘奇,浙江,2006,120.15,30.28
刘奇,宁波,2011,121.55,29.88
刘奇,江西,2016,115.85,28.68
刘雷,兰州,1988,103.82,36.07
刘雷,新疆维吾尔,2014,87.62,43.82
刘雷,兰州,2015,103.82,36.07
刘鹤,南县,1969,112.4,29.38
刘鹤,北京,1973,116.4,39.9
刘士余,上海,1987,121.47,31.23
刘万龙,甘肃,2014,103.82,36.07
刘奇葆,宿松县,1968,116.12,30.15
刘奇葆,安徽,1972,117.25,31.83
刘奇葆,宿州,1984,116.98,33.63
刘奇葆,北京,1985,116.4,39.9
刘奇葆,吉林,1991,125.32,43.9
刘奇葆,广西壮族自治区,2000,108.37,22.82
刘奇葆,四川,2007,104.07,30.67
刘奇葆,北京,2013,116.4,39.9
刘国中,黑龙江,1982,126.53,45.8
刘国中,鹤岗,2004,130.27,47.33
刘国中,黑龙江,2007,126.53,45.8
刘国中,北京,2013,116.4,39.9
刘金国,昌黎县,1976,119.17,39.7
刘金国,河北,1983,114.52,38.05
刘金国,昌黎县,1985,119.17,39.7
刘金国,山海关区,1987,119.77,40.0
刘金国,秦皇岛,1991,119.6,39.93
刘金国,北京,1994,116.4,39.9
刘金国,河北,1995,114.52,38.05
刘金国,北京,1996,116.4,39.9
刘金国,河北,2001,114.52,38.05
刘金国,北京,2014,116.4,39.9
刘结一,朝阳区,1977,116.43,39.92
刘结一,北京,1978,116.4,39.9
刘振立,北京,2009,116.4,39.9
刘家义,开县,1975,108.42,31.18
刘家义,四川,1978,104.07,30.67
刘家义,江西,1982,115.85,28.68
刘家义,四川,1983,104.07,30.67
刘家义,北京,1986,116.4,39.9
刘家义,四川,1988,104.07,30.67
刘家义,北京,1996,116.4,39.9
刘家义,山东,2017,116.98,36.67
刘赐贵,邵武,1973,117.48,27.37
刘赐贵,福建,1981,119.3,26.08
刘赐贵,邵武,1983,117.48,27.37
刘赐贵,光泽县,1986,117.33,27.55
刘赐贵,福建,1993,119.3,26.08
刘赐贵,北京,1994,116.4,39.9
刘赐贵,福建,1997,119.3,26.08
刘赐贵,莆田,1999,119.0,25.43
刘赐贵,福建,2000,119.3,26.08
刘赐贵,北京,2001,116.4,39.9
刘赐贵,龙岩,2002,117.03,25.1
刘赐贵,北京,2003,116.4,39.9
刘赐贵,龙岩,2005,117.03,25.1
刘赐贵,厦门,2007,118.08,24.48
刘赐贵,北京,2013,116.4,39.9
刘赐贵,海南,2015,110.32,20.03
刘粤军,深圳,1993,114.05,22.55
刘粤军,广州,1994,113.27,23.13
刘粤军,北京,1997,116.4,39.9
刘粤军,澳门,1999,113.33,22.13
刘粤军,广州,2002,113.27,23.13
刘粤军,兰州,2007,103.82,36.07
齐扎拉,云南,1979,102.72,25.05
齐扎拉,北京,1995,116.4,39.9
齐扎拉,云南,1996,102.72,25.05
齐扎拉,北京,2006,116.4,39.9
齐扎拉,西藏自治区,2010,91.13,29.65
安兆庆,沈阳,2013,123.43,41.8
安兆庆,南京,2014,118.78,32.07
安兆庆,北京,2016,116.4,39.9
许勤,北京,1978,116.4,39.9
许勤,香港,2004,114.08,22.2
许勤,深圳,2010,114.05,22.55
许勤,北京,2017,116.4,39.9
许又声,闽侯县,1975,119.13,26.15
许又声,福建,1977,119.3,26.08
许又声,厦门,1978,118.08,24.48
许又声,江门,1995,113.08,22.58
许又声,湖南,2012,112.93,28.23
许达哲,余干县,1975,116.68,28.7
许达哲,哈尔滨,1978,126.53,45.8
许达哲,北京,1998,116.4,39.9
许达哲,湖南,2016,112.93,28.23
许其亮,上海,1985,121.47,31.23
许其亮,沈阳,1999,123.43,41.8
许其亮,北京,2007,116.4,39.9
阮成发,湖北,1975,114.3,30.6
阮成发,武昌区,1995,114.3,30.57
阮成发,湖北,1997,114.3,30.6
阮成发,黄石,1998,115.03,30.2
阮成发,湖北,2001,114.3,30.6
阮成发,襄樊,2002,112.15,32.02
阮成发,湖北,2004,114.3,30.6
阮成发,云南,2016,102.72,25.05
孙志刚,荥阳,1971,113.4,34.78
孙志刚,武汉,1973,114.3,30.6
孙志刚,上海,1980,121.47,31.23
孙志刚,湖北,1985,114.3,30.6
孙志刚,汉阳区,1992,114.27,30.55
孙志刚,湖北,1993,114.3,30.6
孙志刚,北京,1995,116.4,39.9
孙志刚,宜昌,1996,111.28,30.7
孙志刚,湖北,2002,114.3,30.6
孙志刚,安徽,2006,117.25,31.83
孙志刚,贵州,2015,106.63,26.65
孙金龙,武汉,1978,114.3,30.6
孙金龙,浙江,1982,120.15,30.28
孙金龙,北京,1983,116.4,39.9
孙金龙,辽宁,1986,123.43,41.8
孙金龙,北京,1995,116.4,39.9
孙金龙,安徽,2003,117.25,31.83
孙金龙,湖南,2013,112.93,28.23
孙金龙,北京,2016,116.4,39.9
孙绍骋,山东,1980,116.98,36.67
孙绍骋,北京,2000,116.4,39.9
孙绍骋,山东,2012,116.98,36.67
孙绍骋,山西,2014,112.55,37.87
孙春兰,鞍山,1965,122.98,41.1
孙春兰,辽宁,1981,123.43,41.8
孙春兰,鞍山,1985,122.98,41.1
孙春兰,辽宁,1991,123.43,41.8
孙春兰,北京,1992,116.4,39.9
孙春兰,辽宁,1993,123.43,41.8
孙春兰,大连,2001,121.62,38.92
孙春兰,福建,2009,119.3,26.08
孙春兰,津市,2012,111.88,29.62
孙春兰,北京,2014,116.4,39.9
杜家毫,上海,1973,121.47,31.23
杜家毫,北京,1981,116.4,39.9
杜家毫,上海,1982,121.47,31.23
杜家毫,北京,1996,116.4,39.9
杜家毫,松江区,1999,121.22,31.03
杜家毫,上海,2003,121.47,31.23
杜家毫,中山,2004,113.38,22.52
杜家毫,浦东新区,2007,121.53,31.22
杜家毫,黑龙江,2011,126.53,45.8
杜家毫,湖南,2013,112.93,28.23
李屹,阿克苏,1978,80.27,41.17
李屹,新疆维吾尔,1984,87.62,43.82
李屹,北京,1996,116.4,39.9
李屹,新疆维吾尔,1999,87.62,43.82
李希,两当县,1975,106.3,33.92
李希,甘肃,1982,103.82,36.07
李希,西固区,1995,103.62,36.1
李希,甘肃,1996,103.82,36.07
李希,张掖,2001,100.45,38.93
李希,陕西,2004,108.93,34.27
李希,延安,2006,109.48,36.6
李希,上海,2011,121.47,31.23
李希,辽宁,2014,123.43,41.8
李斌,长春,1974,125.32,43.9
李斌,安徽,2011,117.25,31.83
李强,安县,1976,104.57,31.53
李强,宁波,1978,121.55,29.88
李强,安县,1982,104.57,31.53
李强,浙江,1984,120.15,30.28
李强,永康,1996,120.03,28.9
李强,浙江,1998,120.15,30.28
李强,北京,2001,116.4,39.9
李强,温州,2002,120.7,28.0
李强,浙江,2004,120.15,30.28
李强,江苏,2016,118.78,32.07
李干杰,北京,1989,116.4,39.9
李干杰,平江县,1998,113.58,28.72
李干杰,北京,2005,116.4,39.9
李干杰,河北,2016,114.52,38.05
李小鹏,大安,1987,124.28,45.5
李小鹏,北京,1989,116.4,39.9
李小鹏,山西,2008,112.55,37.87
李凤彪,成都,2016,104.07,30.67
李玉赋,上海,1972,121.47,31.23
李玉赋,北京,1978,116.4,39.9
李传广,北京,2017,116.4,39.9
李纪恒,广西壮族自治区,1979,108.37,22.82
李纪恒,南县,1987,112.4,29.38
李纪恒,桂平,1990,110.08,23.4
李纪恒,河池,1991,108.07,24.7
李纪恒,北京,1995,116.4,39.9
李纪恒,玉林,1996,110.17,22.63
李纪恒,广西壮族自治区,2001,108.37,22.82
李纪恒,云南,2006,102.72,25.05
李纪恒,内蒙古自治区,2016,111.73,40.83
李克强,凤阳县,1974,117.57,32.87
李克强,北京,1978,116.4,39.9
李克强,河南,1998,113.62,34.75
李克强,辽宁,2004,123.43,41.8
李克强,北京,2007,116.4,39.9
李作成,北京,1998,116.4,39.9
李作成,广州,2008,113.27,23.13
李作成,成都,2013,104.07,30.67
李作成,北京,2017,116.4,39.9
李尚福,西昌,2013,102.27,27.9
李尚福,北京,2017,116.4,39.9
李国英,黑龙江,1999,126.53,45.8
李国英,安徽,2015,117.25,31.83
李桥铭,北京,2017,116.4,39.9
李晓红,重庆,1978,106.55,29.57
李晓红,武汉,2010,114.3,30.6
李鸿忠,苏家屯区,1975,123.33,41.67
李鸿忠,吉林,1978,125.32,43.9
李鸿忠,辽宁,1982,123.43,41.8
李鸿忠,惠州,1995,114.42,23.12
李鸿忠,北京,1996,116.4,39.9
李鸿忠,惠州,2000,114.42,23.12
李鸿忠,广东,2001,113.27,23.13
李鸿忠,深圳,2003,114.05,22.55
李鸿忠,湖北,2007,114.3,30.6
李鸿忠,津市,2016,111.88,29.62
李锦斌,通化,1974,125.93,41.73
李锦斌,长春,1979,125.32,43.9
李锦斌,通榆县,1991,123.08,44.82
李锦斌,吉林,1992,125.32,43.9
李锦斌,北京,1995,116.4,39.9
李锦斌,通化,1997,125.93,41.73
李锦斌,辽源,2001,125.13,42.88
李锦斌,吉林,2002,125.32,43.9
李锦斌,陕西,2007,108.93,34.27
李锦斌,安徽,2013,117.25,31.83
杨洁篪,上海,1968,121.47,31.23
杨洁篪,北京,1996,116.4,39.9
杨洁篪,南京,2001,118.78,32.07
杨洁篪,北京,2013,116.4,39.9
杨振武,河北,1984,114.52,38.05
杨振武,北京,1990,116.4,39.9
杨振武,上海,2013,121.47,31.23
杨晓渡,和县,1970,118.37,31.72
杨晓渡,上海,1973,121.47,31.23
杨晓渡,那曲地区,1976,92.07,31.48
杨晓渡,北京,1988,116.4,39.9
杨晓渡,西藏自治区,1992,91.13,29.65
杨晓渡,上海,2001,121.47,31.23
杨晓渡,北京,2013,116.4,39.9
肖捷,北京,1976,116.4,39.9
肖捷,阜新,1991,121.67,42.02
肖捷,北京,1994,116.4,39.9
肖捷,湖南,2005,112.93,28.23
肖捷,北京,2017,116.4,39.9
肖亚庆,哈尔滨,1982,126.53,45.8
吴社洲,湖北,2012,114.3,30.6
吴社洲,广州,2013,113.27,23.13
吴社洲,济南,2016,116.98,36.67
吴英杰,西藏自治区,1974,91.13,29.65
吴英杰,北京,2000,116.4,39.9
吴英杰,西藏自治区,2003,91.13,29.65
吴政隆,太原,1980,112.55,37.87
吴政隆,重庆,1999,106.55,29.57
吴政隆,万州区,2002,108.4,30.82
吴政隆,北京,2009,116.4,39.9
吴政隆,重庆,2013,106.55,29.57
吴政隆,山西,2014,112.55,37.87
吴政隆,江苏,2016,118.78,32.07
邱学强,青海,1975,101.78,36.62
邱学强,北京,2006,116.4,39.9
何平,成都,2017,104.07,30.67
何立峰,永定县,1973,116.73,24.72
何立峰,厦门,1978,118.08,24.48
何立峰,福州,2000,119.3,26.08
何立峰,厦门,2005,118.08,24.48
何立峰,滨海新区,2009,117.68,39.03
何立峰,津市,2013,111.88,29.62
